,title,company,city,country,posted,link
108,Architect Design Engineer,Seero -,"Nasr City,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/1ogwdmfkmzk4-architect-design-engineer-seero-cairo-egypt
109,Planning Engineer,ADCONS -,"Cairo,",Egypt,3 days ago,https://wuzzuf.net/jobs/p/oylxgoumhsu5-planning-engineer-adcons-cairo-egypt
110,Process Engineer/Production Engineer,Haier Electric Egypt  -,"10th of Ramadan City,","Sharqia,",Egypt,https://wuzzuf.net/jobs/p/b12hs7vrr9t9-process-engineerproduction-engineer-haier-electric-egypt-sharqia-egypt
111,Junior Tender Engineer,Delta Egypt For Lighting  -,"Obour City,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/z2hqkelsba8p-junior-tender-engineer-delta-egypt-for-lighting-cairo-egypt
112,Electrical Design Engineer,East Engineering Consultancy  -,"Nozha,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/eh9k2tuflqhj-electrical-design-engineer-east-engineering-consultancy-cairo-egypt
113,Pavement Assessment Engineer,Citylogix ME   -,"New Cairo,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/rtdk0siwzd8q-pavement-assessment-engineer-citylogix-me-cairo-egypt
114,Electrical Engineer,Talaat Moustafa Group -,"Madinaty,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/59kyocttoozt-electrical-engineer-talaat-moustafa-group-cairo-egypt
115,Maintenance Planning Engineer,Egyptian Starch and Glucose  Manufacturing Company -,"Musturad,","Qalubia,",Egypt,https://wuzzuf.net/jobs/p/tupbre5zmwya-maintenance-planning-engineer-egyptian-starch-and-glucose-manufacturing-company-qalubia-egypt
116,Site Engineer,Quantum Automatic Systems -,"Heliopolis,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/uklspyh9waod-site-engineer-quantum-automatic-systems-cairo-egypt
117,Middle Automation QA Engineer.,Vertex Technologies  -,"Cairo,",Egypt,9 days ago,https://wuzzuf.net/jobs/p/uusoe8wzc6ov-middle-automation-qa-engineer-vertex-technologies-cairo-egypt
118,Sales Engineer (Fit-Out),Egypro FME -,"Cairo,",Egypt,20 days ago,https://wuzzuf.net/jobs/p/vyim0iohdhli-sales-engineer-fit-out-egypro-fme-cairo-egypt
119,Junior Automation QA Engineer,Vertex Technologies  -,"Cairo,",Egypt,9 days ago,https://wuzzuf.net/jobs/p/0kvgq7bbtvmc-junior-automation-qa-engineer-vertex-technologies-cairo-egypt
120,"AI Engineer (Computer Vision, Speech, NLP & Generative AI)",Madar Soft -,"Fleming,","Alexandria,",Egypt,https://wuzzuf.net/jobs/p/w0bib0poknfj-ai-engineer-computer-vision-speech-nlp-generative-ai-madar-soft-alexandria-egypt
121,Maintenance Engineer - Mobiles,Raya Distribution -,"Aswan,","Aswan,",Egypt,https://wuzzuf.net/jobs/p/i8hyqxmuicek-maintenance-engineer-mobiles-raya-distribution-aswan-egypt
122,Procurement & Supply chain Engineer,SCALES Homes    -,"Heliopolis,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/k8mlzxgqigxn-procurement-supply-chain-engineer-scales-homes-cairo-egypt
123,Business Development Engineer (Consultants & Contractors),Al Andalus Electrical Solutions -,"New Cairo,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/9j9kqall1wz9-business-development-engineer-consultants-contractors-al-andalus-electrical-solutions-cairo-egypt
124,BIM Architectural Engineer,EGEC -,"Haram,","Giza,",Egypt,https://wuzzuf.net/jobs/p/vmei5wrczfax-bim-architectural-engineer-egec-giza-egypt
125,Cost Control Engineer,CUD   -,"Maadi,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/z3h0swhgjphd-cost-control-engineer-cud-cairo-egypt
126,Senior Hydrology And Hydraulics Engineer,Confidential -,"Downtown,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/nz7sibxwkpmi-senior-hydrology-and-hydraulics-engineer-cairo-egypt
127,Presales Engineer- Structure Cabling System,Al Andalus Electrical Solutions -,"New Cairo,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/iusuqa6u1mlt-presales-engineer-structure-cabling-system-al-andalus-electrical-solutions-cairo-egypt
128,Technical Office Engineer,Arma-HSA -,"Sharqia,",Egypt,25 days ago,https://wuzzuf.net/jobs/p/yyilimzfrwe0-technical-office-engineer-arma-hsa-sharqia-egypt
129,Head of Mechanical Engineering,CSI -,"Heliopolis,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/mwhrmz9wdsy1-head-of-mechanical-engineering-csi-cairo-egypt
130,Network Engineer,TECHNOSAT -,"New Cairo,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/xvz23iqiajtt-network-engineer-technosat-cairo-egypt
131,Senior Data Scientist,Egabi FSI  -,"Sheraton,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/o1a7fazksizo-senior-data-scientist-egabi-fsi-cairo-egypt
132,Mechanical Tender Engineer,RAQMU for Building and Construction  -,"Cairo,",Egypt,25 days ago,https://wuzzuf.net/jobs/p/uyi0fctlgnpc-mechanical-tender-engineer-raqmu-for-building-and-construction-cairo-egypt
133,Sales Engineer,Confidential -,"Obour City,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/qsw1azswwtim-sales-engineer-cairo-egypt
134,Process Analyst,RISEUP (Endemag for Administrative Skills Development) -,"Maadi,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/nj3rav1lsoe0-process-analyst-riseup-endemag-for-administrative-skills-development-cairo-egypt
135,Architect Tender Engineer,RAQMU for Building and Construction  -,"Cairo,",Egypt,25 days ago,https://wuzzuf.net/jobs/p/91kmja85k0kl-architect-tender-engineer-raqmu-for-building-and-construction-cairo-egypt
136,Architect design and technical office engineer,NEW JERSEY Developments -,"New Cairo,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/j9jyxiszxvnp-architect-design-and-technical-office-engineer-new-jersey-developments-cairo-egypt
137,Production Engineer,El Helal Trading and Importing Co -,"Obour City,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/6y7pow4d0urc-production-engineer-el-helal-trading-and-importing-co-cairo-egypt
138,Surveyor,Eamar Al Delta  -,"New Cairo,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/d0zfcteyrm9e-surveyor-eamar-al-delta-cairo-egypt
139,Senior HSE Engineer,Petromin  -,"Maadi,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/12cysbk4yair-senior-hse-engineer-petromin-cairo-egypt
140,Production Engineer,PAFT -,"6th of October,","Giza,",Egypt,https://wuzzuf.net/jobs/p/damg0bx8ws6k-production-engineer-paft-giza-egypt
141,Safety Engineer (HSE),Doosan Enerbility co .LTD -,"Dabaa,","Matruh,",Egypt,https://wuzzuf.net/jobs/p/lalzwpbxrnso-safety-engineer-hse-doosan-enerbility-co-ltd-matruh-egypt
